min_samples;eps_rad;dbcv;percentual_ruido
5;0.00010593515579714925;-2.0;0.08654886404615938
6;7.781327987186059e-05;-2.0;0.432744320230797
7;7.252134435797232e-05;-2.0;0.6419040750090155
8;9.161947868416196e-05;-2.0;0.3317706455102777
9;0.00019077067326730968;-2.0;0.0
10;0.0001042138219005984;-2.0;0.2163721601153985
11;0.00010079798517348133;-2.0;0.3534078615218175
12;0.00014148674497130778;-2.0;0.1586729174179589
13;0.0001004876865793681;-2.0;0.3966822935448972
14;0.00010532217027792607;-2.0;0.3966822935448972
15;0.00014389485841580368;-2.0;0.1586729174179589
16;0.00014996322782264308;-2.0;0.2596465921384782
17;0.00015866021893173502;-2.0;0.24522178146411827
18;0.00013739769751814764;-2.0;0.30292102416155786
19;0.00014174025130868736;-2.0;0.281283808150018
20;0.00015491923185009403;-2.0;0.2740714028128381
21;0.00015566605370147;-2.0;0.2740714028128381
22;0.00016626343623002144;-2.0;0.22358456545257843
23;0.0002019065286024604;-2.0;0.2019473494410386
24;0.0002446425616275198;-2.0;0.08654886404615938
25;0.00024467923491879143;-2.0;0.08654886404615938
26;0.00020372641683291537;-2.0;0.2740714028128381
27;0.00021993221070545343;-2.0;0.18752253876667868
28;0.00016913779615350508;-2.0;0.4038946988820772
29;0.00016946792254672269;-2.0;0.4038946988820772
30;0.0002632212510745832;-2.0;0.0576992426974396
