k;WCSS;BIC
2;327181394553.7882;537987.0414960901
3;179470520958.19342;536125.0732789313
4;136615937832.60403;534515.9456759094
5;102108793330.65723;534209.4578385102
6;82110293096.31352;534009.9932243589
7;69552372305.42708;532505.1107175078
8;60773261879.825676;532770.8277731156
9;53249647682.73295;531979.7964993541
10;48088899294.1057;531965.5199809885
11;43693341883.72323;531659.4940232252
12;40145802190.22268;531447.796266795
13;36651511720.846115;531464.2406413514
14;33786741103.134438;531023.8612494661
15;31586418350.668884;530249.0635464217
