k;silhouette;davies_bouldin;calinski_harabasz
2;0.38838230665816736;0.9423563484350781;10803.319868562252
3;0.4143460348066214;0.7816529088727258;13527.638357606851
4;0.3819598831567225;0.8011227101645526;13412.177842283392
5;0.40917053902551603;0.8178850325873499;16072.483278764063
6;0.4000653378388057;0.8031656475893962;15899.190551823835
7;0.371889643752326;0.895492927681267;15654.976222151025
8;0.38034711386637565;0.8638359588114882;15516.295663832683
9;0.3905149125040276;0.796595129979464;15364.453275232074
10;0.35846732046119095;0.7838462220190087;14892.320911738992
11;0.3505543035925523;0.8022924031347022;14666.63636033392
12;0.3531351330016715;0.8326838912915498;14690.517582046989
13;0.35156726625469004;0.9092026924577706;14757.87724104154
14;0.35171552689592606;0.8227366193437734;14842.193992427277
15;0.3472403279943227;0.8467894942065234;15093.106079980354
