k;WCSS;BIC
2;57591909.031374566;537987.0414960901
3;44814422.70168544;536125.0732789313
4;38632972.475011095;534515.9456759094
5;33647999.235790424;534209.4578385102
6;31029076.69895059;534009.9932243589
7;27808633.386606343;532505.1107175078
8;28169901.201326013;532770.8277731156
9;25480474.903329626;531979.7964993541
10;24271668.74487779;531965.5199809885
11;23833719.54072015;531659.4940232252
12;21866280.89731507;531447.796266795
13;20962376.745234124;531464.2406413514
14;19865886.716198817;531023.8612494661
15;19380383.733126044;530249.0635464217
