k;silhouette;davies_bouldin;calinski_harabasz
2;0.404376215475609;0.9202570095385711;11323.62602139985
3;0.4520961945650009;0.7633726251656432;16235.044550070286
4;0.39679303647353925;0.8467158298010891;15404.775192680876
5;0.4017701387848868;0.8214661315101441;16783.776753708233
6;0.37762230017158827;0.8385306611223434;15675.055243296527
7;0.40789597285871754;0.7751469190786846;17540.670564310847
8;0.36945194738222464;0.8825631049526848;14200.939584844658
9;0.38964030162152125;0.8554990419645373;15939.806532920878
10;0.3682777999061311;0.888409277305791;15687.037748769777
11;0.37044313093361425;0.818079489879311;14503.734900931926
12;0.390293664613247;0.7741798657156348;15761.876493290029
13;0.3705648551871951;0.8257494348047474;15709.743141499926
14;0.38166082024617776;0.7817787149676886;16199.230292209282
15;0.38173944662639503;0.8058509149594445;15724.222550534601
